date,close,same_day_return,next_day_return,gap_to_next,next_day_ok,sentiment_mean,sentiment_median,sentiment_std,share_positive,share_negative,avg_positive_probability,avg_negative_probability,headline_count
2008-01-02,1447.16,,0.0,1.0,true,-0.4787915833333333,-0.41577548,0.44379138363175913,0.0,1.0,0.08425465266666667,0.5630462253333334,3
2008-01-03,1447.16,0.0,-0.021407446308632117,4.0,false,0.7974336,0.7974336,0.0,1.0,0.0,0.86162645,0.0641928,1
2008-01-07,1416.18,-0.021407446308632117,-0.0049781807397364375,2.0,false,0.42151028,0.42151028,0.0,1.0,0.0,0.5865663,0.16505605,1
2008-01-09,1409.13,-0.0049781807397364375,0.007948166599249129,1.0,true,-0.37560524,-0.37560524,0.6274661363811016,0.5,0.5,0.053437506,0.42904274550000004,2
2008-01-10,1420.33,0.007948166599249129,-0.07732710004013144,12.0,false,0.25989783,0.25989783,0.0,1.0,0.0,0.5423399,0.2824421,1
2008-01-22,1310.5,-0.07732710004013144,0.0395268981304846,7.0,false,-0.49286502,-0.485716023,0.5033015243488111,0.0,0.75,0.12664407575,0.61950911,4
2008-01-29,1362.3,0.0395268981304846,-0.004764002055347549,1.0,true,-0.72344494,-0.72344494,0.0,0.0,1.0,0.043177884,0.76662284,1
2008-01-30,1355.81,-0.004764002055347549,0.029215008002596354,2.0,false,0.0801606,0.0801606,0.0,1.0,0.0,0.09628696,0.01612636,1
2008-02-01,1395.42,0.029215008002596354,-0.04212351836722994,4.0,false,0.065929316,0.065929316,0.0,1.0,0.0,0.08678313,0.020853816,1
2008-02-05,1336.64,-0.04212351836722994,0.0018628800574576054,6.0,false,-0.37744024666666665,-0.394481,0.53528573250399,0.3333333333333333,0.6666666666666666,0.07544417633333333,0.4528844303333333,3
2008-02-11,1339.13,0.0018628800574576054,0.0025389618632991606,10.0,false,-0.82144195,-0.82144195,0.12710924628551695,0.0,1.0,0.0686967685,0.890138715,2
2008-02-21,1342.53,0.0025389618632991606,0.00788064326309268,1.0,true,0.014506355,0.014506355,0.0,0.0,0.0,0.035339266,0.020832911,1
2008-02-22,1353.11,0.00788064326309268,0.010767786802255763,6.0,false,-0.415914774,-0.415914774,0.5579427838861543,0.0,0.5,0.070289415,0.486204185,2
2008-02-28,1367.68,0.010767786802255763,-0.02708967009826857,1.0,true,0.037423242,0.037423242,0.0,0.0,0.0,0.06665623,0.02923299,1
2008-02-29,1330.63,-0.02708967009826857,0.002307177802995497,5.0,false,-0.9265904,-0.9265904,0.0,0.0,1.0,0.02083301,0.9474234,1
